x,y,z,yaw,index
-2.457, -0.605, -0.473, 1.057, 0
-2.325, -0.633, 0.476, 0.404, 1
-2.297, -0.125, 0.017, 0.855, 2
-2.54, 0.402, -0.439, -0.766, 3
-2.433, 0.408, 0.497, 0.839, 4
-2.428, -0.606, -0.471, 1.193, 0
-2.338, -0.644, 0.475, 0.517, 1
-2.318, -0.134, 0.014, 1.267, 2
-2.531, 0.395, -0.44, 0.867, 3
-2.453, 0.404, 0.497, 0.897, 4
-2.425, -0.612, -0.473, 1.455, 0
-2.328, -0.648, 0.472, 0.385, 1
-2.323, -0.141, 0.013, -0.613, 2
-2.539, 0.389, -0.445, 0.815, 3
-2.461, 0.398, 0.498, 0.962, 4
-2.445, -0.626, -0.476, -1.104, 0
-2.305, -0.649, 0.47, 0.316, 1
-2.309, -0.148, 0.014, -0.476, 2
-2.546, 0.381, -0.445, 0.659, 3
-2.44, 0.387, 0.494, 0.892, 4
-2.429, -0.63, -0.471, 1.36, 0
-2.336, -0.663, 0.477, 0.731, 1
-2.318, -0.154, 0.014, 0.227, 2
-2.522, 0.37, -0.441, 0.761, 3
-2.449, 0.384, 0.496, 0.914, 4
-2.418, -0.634, -0.468, 1.286, 0
-2.325, -0.665, 0.477, 0.545, 1
-2.306, -0.16, 0.015, -0.483, 2
-2.536, 0.365, -0.444, 0.781, 3
-2.455, 0.379, 0.497, 0.948, 4
-2.446, -0.646, -0.472, -1.104, 0
-2.327, -0.67, 0.478, 0.42, 1
-2.31, -0.165, 0.016, -0.198, 2
-2.536, 0.359, -0.443, 0.711, 3
-2.439, 0.372, 0.494, 0.89, 4
-2.436, -0.65, -0.471, -1.223, 0
-2.325, -0.677, 0.478, 0.48, 1
-2.313, -0.171, 0.015, 0.471, 2
-2.528, 0.352, -0.442, 0.789, 3
-2.449, 0.367, 0.494, 0.947, 4
-2.418, -0.653, -0.468, 1.27, 0
-2.32, -0.682, 0.475, 0.38, 1
-2.307, -0.178, 0.014, 0.329, 2
-2.519, 0.343, -0.442, 0.759, 3
-2.422, 0.355, 0.488, 0.871, 4
-2.428, -0.663, -0.473, 1.255, 0
-2.318, -0.69, 0.473, 0.424, 1
-2.309, -0.185, 0.013, 1.028, 2
-2.511, 0.336, -0.441, 0.812, 3
-2.438, 0.35, 0.49, 0.9, 4
-2.433, -0.671, -0.476, -1.139, 0
-2.313, -0.696, 0.471, 0.405, 1
-2.324, -0.194, 0.012, 0.049, 2
-2.532, 0.331, -0.446, 0.73, 3
-2.423, 0.339, 0.488, 0.892, 4
-2.463, -0.687, -0.481, -0.998, 0
-2.318, -0.705, 0.474, 0.555, 1
-2.318, -0.2, 0.013, -0.933, 2
-2.525, 0.323, -0.444, 0.744, 3
-2.42, 0.332, 0.487, 0.903, 4
-2.417, -0.682, -0.47, -1.39, 0
-2.293, -0.701, 0.471, 0.43, 1
-2.302, -0.204, 0.013, -1.02, 2
-2.528, 0.316, -0.444, 0.753, 3
-2.432, 0.331, 0.489, 0.898, 4
-2.419, -0.687, -0.469, -1.096, 0
-2.298, -0.705, 0.472, 0.328, 1
-2.307, -0.208, 0.014, -1.27, 2
-2.542, 0.313, -0.447, 0.699, 3
-2.429, 0.327, 0.488, 0.918, 4
-2.434, -0.694, -0.472, -1.123, 0
-2.306, -0.711, 0.474, 0.475, 1
-2.322, -0.212, 0.014, 0.508, 2
-2.517, 0.307, -0.443, 0.919, 3
-2.418, 0.323, 0.486, 0.923, 4
-2.422, -0.694, -0.47, -1.139, 0
-2.334, -0.724, 0.478, 0.441, 1
-2.308, -0.215, 0.013, 1.397, 2
-2.508, 0.303, -0.441, 0.785, 3
-2.434, 0.321, 0.489, 1.003, 4
-2.414, -0.696, -0.472, 1.218, 0
-2.343, -0.731, 0.475, 0.396, 1
-2.32, -0.22, 0.01, -0.978, 2
-2.525, 0.301, -0.447, 0.748, 3
-2.444, 0.317, 0.487, 1.027, 4
-2.439, -0.706, -0.485, 1.29, 0
-2.316, -0.725, 0.462, 0.366, 1
-2.317, -0.223, 0.004, -1.361, 2
-2.522, 0.299, -0.453, 0.858, 3
-2.431, 0.313, 0.478, 0.954, 4
-2.415, -0.7, -0.487, 1.185, 0
-2.333, -0.732, 0.459, 0.358, 1
-2.327, -0.224, -0.003, 1.389, 2
-2.519, 0.298, -0.459, 0.979, 3
-2.445, 0.312, 0.474, 0.988, 4
