x,y,z,yaw,index
-1.779, 0.623, -0.054, -0.08, 2
-1.859, 0.005, -0.287, 1.319, 0
-1.761, 0.042, 0.257, 1.398, 1
-1.779, 0.629, -0.047, -0.045, 2
-1.855, 0.009, -0.277, 1.388, 0
-1.766, 0.048, 0.267, 1.398, 1
-1.781, 0.636, -0.041, -0.058, 2
-1.866, 0.011, -0.269, 1.383, 0
-1.76, 0.051, 0.275, 1.36, 1
-1.774, 0.635, -0.034, -0.042, 2
-1.866, 0.008, -0.261, 1.331, 0
-1.763, 0.048, 0.283, 1.255, 1
-1.78, 0.636, -0.028, -0.026, 2
-1.865, 0.004, -0.256, 1.371, 0
-1.759, 0.042, 0.286, 1.366, 1
-1.78, 0.63, -0.023, -0.026, 2
-1.853, -0.001, -0.255, 1.393, 0
-1.754, 0.037, 0.284, 1.442, 1
-1.788, 0.628, -0.021, -0.0, 2
-1.858, -0.004, -0.26, 1.389, 0
-1.75, 0.034, 0.279, 1.468, 1
-1.782, 0.623, -0.024, -0.019, 2
-1.861, -0.002, -0.265, 1.426, 0
-1.749, 0.035, 0.275, 0.646, 1
-1.781, 0.624, -0.026, -0.06, 2
-1.869, 0.005, -0.268, 1.349, 0
-1.755, 0.042, 0.278, 1.554, 1
-1.776, 0.63, -0.023, -0.057, 2
-1.86, 0.018, -0.26, 1.285, 0
-1.744, 0.054, 0.285, 1.361, 1
-1.777, 0.644, -0.015, -0.006, 2
-1.855, 0.031, -0.249, 1.23, 0
-1.747, 0.068, 0.296, 1.477, 1
-1.769, 0.656, -0.005, -0.002, 2
-1.855, 0.044, -0.239, 1.18, 0
-1.744, 0.08, 0.304, 1.37, 1
-1.765, 0.668, 0.002, 0.018, 2
-1.861, 0.053, -0.234, 1.332, 0
-1.743, 0.088, 0.308, 1.455, 1
-1.765, 0.678, 0.005, 0.047, 2
-1.855, 0.057, -0.23, 1.261, 0
-1.743, 0.091, 0.312, 1.242, 1
-1.756, 0.68, 0.009, 0.046, 2
-1.86, 0.06, -0.227, 1.383, 0
-1.741, 0.091, 0.314, 1.299, 1
-1.758, 0.682, 0.014, 0.067, 2
-1.852, 0.059, -0.226, 1.376, 0
-1.736, 0.089, 0.313, 1.287, 1
-1.761, 0.682, 0.014, 0.086, 2
-1.846, 0.059, -0.225, 1.415, 0
-1.748, 0.091, 0.317, 1.064, 1
-1.749, 0.678, 0.014, 0.048, 2
-1.851, 0.062, -0.225, 1.322, 0
-1.743, 0.097, 0.317, 1.136, 1
-1.755, 0.685, 0.014, 0.061, 2
-1.859, 0.067, -0.224, 1.312, 0
-1.739, 0.103, 0.319, 1.376, 1
-1.756, 0.692, 0.015, 0.097, 2
-1.856, 0.074, -0.219, 1.32, 0
-1.742, 0.112, 0.324, 1.384, 1
-1.749, 0.698, 0.017, 0.058, 2
-1.854, 0.084, -0.213, 1.237, 0
-1.737, 0.124, 0.329, 0.99, 1
-1.74, 0.707, 0.021, 0.067, 2
-1.862, 0.098, -0.211, 1.344, 0
-1.731, 0.138, 0.331, 1.518, 1
-1.731, 0.719, 0.023, 0.057, 2
-1.871, 0.113, -0.212, 1.415, 0
-1.734, 0.151, 0.332, 0.506, 1
-1.725, 0.731, 0.023, 0.058, 2
-1.862, 0.126, -0.212, 1.391, 0
-1.732, 0.163, 0.33, 1.54, 1
-1.721, 0.744, 0.022, 0.046, 2
-1.857, 0.139, -0.213, 1.397, 0
-1.731, 0.175, 0.33, 0.675, 1
-1.722, 0.76, 0.023, 0.068, 2
-1.849, 0.153, -0.214, 1.451, 0
-1.725, 0.187, 0.327, 0.704, 1
-1.712, 0.77, 0.022, 0.106, 2
-1.85, 0.166, -0.217, 1.534, 0
-1.726, 0.198, 0.324, 1.431, 1
-1.699, 0.778, 0.02, 0.084, 2
-1.852, 0.179, -0.22, 1.435, 0
-1.713, 0.206, 0.32, 0.868, 1
-1.7, 0.791, 0.019, 0.089, 2
-1.847, 0.189, -0.224, 1.437, 0
-1.721, 0.217, 0.319, 0.38, 1
-1.703, 0.804, 0.015, 0.08, 2
-1.854, 0.2, -0.225, 1.308, 0
-1.716, 0.227, 0.318, 1.322, 1
-1.692, 0.811, 0.014, 0.089, 2
-1.843, 0.209, -0.221, 1.241, 0
-1.709, 0.237, 0.321, 1.114, 1
-1.696, 0.824, 0.017, 0.125, 2
-1.837, 0.218, -0.217, 1.316, 0
-1.713, 0.246, 0.326, 0.887, 1
-1.694, 0.834, 0.02, 0.12, 2
-1.835, 0.225, -0.214, 1.266, 0
-1.711, 0.254, 0.328, 1.118, 1
-1.684, 0.838, 0.022, 0.103, 2
-1.835, 0.231, -0.211, 1.239, 0
-1.712, 0.261, 0.331, 1.142, 1
-1.684, 0.845, 0.023, 0.125, 2
-1.827, 0.235, -0.206, 1.27, 0
-1.71, 0.267, 0.335, 1.172, 1
-1.674, 0.846, 0.025, 0.122, 2
-1.835, 0.241, -0.204, 1.229, 0
-1.708, 0.272, 0.337, 0.75, 1
-1.681, 0.855, 0.026, 0.135, 2
-1.823, 0.245, -0.202, 1.258, 0
-1.713, 0.28, 0.339, 0.813, 1
-1.683, 0.862, 0.026, 0.108, 2
-1.824, 0.251, -0.202, 1.312, 0
-1.708, 0.287, 0.338, 1.008, 1
-1.68, 0.869, 0.024, 0.124, 2
-1.826, 0.259, -0.2, 1.308, 0
