x,y,z,yaw,index
-3.864, -0.023, -0.563, 1.461, 3
-3.825, 0.705, -0.488, 1.335, 4
-3.697, 0.676, 0.065, -0.04, 5
-3.804, 1.315, -0.177, -0.159, 6
-3.855, -1.59, 0.009, 0.45, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.815, 0.703, -0.486, 1.312, 4
-3.718, 0.68, 0.065, -0.006, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.842, -1.585, 0.008, 0.348, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.864, -0.023, -0.563, 1.461, 3
-3.817, 0.704, -0.486, 1.238, 4
-3.709, 0.678, 0.065, 0.014, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.85, -1.588, 0.009, 0.329, 0
-3.894, -1.021, -0.544, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.864, -0.023, -0.563, 1.499, 3
-3.821, 0.704, -0.487, 1.165, 4
-3.716, 0.679, 0.065, -0.021, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.698, -0.533, 0.018, 1.504, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.722, 0.68, 0.065, -0.08, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.832, -1.581, 0.009, 0.33, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.815, 0.703, -0.486, 1.312, 4
-3.709, 0.678, 0.065, 0.013, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.691, -0.532, 0.018, 1.292, 2
-3.834, -0.022, -0.559, 1.546, 3
-3.815, 0.703, -0.486, 1.386, 4
-3.707, 0.678, 0.065, -0.025, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.805, -1.569, 0.009, 0.362, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.68, -0.53, 0.018, 1.293, 2
-3.847, -0.022, -0.561, 1.55, 3
-3.815, 0.703, -0.486, 1.386, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.805, -1.569, 0.009, 0.362, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.68, -0.53, 0.018, 1.293, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.836, 0.707, -0.489, 1.323, 4
-3.698, 0.676, 0.065, -0.055, 5
-3.833, 1.325, -0.178, -0.116, 6
