x,y,z,yaw,index
-2.865, 0.724, 0.456, 0.574, 5
-2.894, 1.305, 0.115, 0.176, 6
-2.945, -0.499, 0.617, 0.915, 2
-2.979, -0.079, -0.04, 1.154, 3
-2.961, 0.65, -0.093, -0.073, 4
-2.858, 0.717, 0.452, 0.712, 5
-2.92, 1.31, 0.112, 0.174, 6
-3.066, -1.529, 0.785, -0.148, 0
-3.109, -1.066, 0.147, 0.45, 1
-2.939, -0.5, 0.61, 0.911, 2
-2.972, -0.082, -0.045, 0.987, 3
-2.945, 0.643, -0.098, -0.194, 4
-2.842, 0.71, 0.442, 0.681, 5
-2.9, 1.297, 0.105, 0.126, 6
-3.07, -1.531, 0.783, -0.016, 0
-3.076, -1.057, 0.141, 0.41, 1
-2.943, -0.502, 0.606, 0.929, 2
-3.007, -0.085, -0.051, 1.259, 3
-2.91, 0.633, -0.104, -0.394, 4
-2.87, 0.717, 0.44, 0.826, 5
-2.901, 1.296, 0.097, 0.144, 6
-3.026, -1.512, 0.768, -0.032, 0
-2.926, -0.502, 0.599, 0.927, 2
-2.981, -0.087, -0.055, 0.925, 3
-2.972, 0.644, -0.111, -0.148, 4
-2.859, 0.71, 0.434, 0.694, 5
-2.883, 1.284, 0.091, 0.098, 6
-3.097, -1.552, 0.78, -0.064, 0
-3.039, -1.05, 0.13, 0.321, 1
-2.953, -0.51, 0.6, 0.982, 2
-2.945, -0.09, -0.059, 1.322, 3
-2.941, 0.634, -0.114, -0.194, 4
-2.848, 0.703, 0.428, 0.626, 5
-2.898, 1.287, 0.088, 0.137, 6
-3.022, -1.517, 0.758, 0.008, 0
-3.096, -1.073, 0.13, 0.358, 1
-2.915, -0.506, 0.589, 0.83, 2
-3.008, -0.094, -0.063, 1.151, 3
-2.962, 0.635, -0.116, -0.239, 4
-2.852, 0.701, 0.427, 0.699, 5
-2.897, 1.284, 0.087, 0.118, 6
-3.064, -1.063, 0.126, 0.399, 1
-2.92, -0.508, 0.589, 0.812, 2
-2.977, -0.094, -0.064, 0.89, 3
-2.918, 0.625, -0.115, -0.35, 4
-2.865, 0.704, 0.429, 0.732, 5
-2.872, 1.271, 0.085, 0.111, 6
-3.054, -1.537, 0.76, -0.032, 0
-3.088, -1.072, 0.125, 0.344, 1
-2.955, -0.516, 0.594, 0.892, 2
-2.981, -0.095, -0.065, 1.535, 3
-2.91, 0.623, -0.116, -0.36, 4
-2.868, 0.703, 0.428, 0.237, 5
-2.874, 1.272, 0.085, 0.135, 6
-3.057, -1.541, 0.755, -0.008, 0
-2.922, -0.513, 0.583, 0.808, 2
-2.992, -0.097, -0.068, 0.968, 3
-2.925, 0.624, -0.118, -0.253, 4
-2.85, 0.696, 0.423, 0.664, 5
-2.898, 1.28, 0.086, 0.121, 6
-2.944, -0.518, 0.582, 0.905, 2
-3.002, -0.099, -0.073, 0.627, 3
-2.971, 0.632, -0.124, -0.152, 4
-2.854, 0.695, 0.421, 0.278, 5
-2.857, 1.259, 0.082, 0.055, 6
-3.077, -1.554, 0.745, -0.058, 0
-3.116, -1.087, 0.107, 0.43, 1
-2.955, -0.521, 0.576, 0.853, 2
-3.005, -0.1, -0.08, 0.582, 3
-2.933, 0.623, -0.128, -0.253, 4
-2.863, 0.695, 0.415, 0.819, 5
-2.862, 1.262, 0.076, 0.062, 6
-3.08, -1.557, 0.736, 0.009, 0
-3.059, -1.07, 0.096, 0.237, 1
-2.932, -0.52, 0.563, 0.827, 2
-2.988, -0.101, -0.088, 1.088, 3
-2.954, 0.627, -0.137, -0.279, 4
-2.869, 0.694, 0.408, 0.599, 5
-2.9, 1.276, 0.07, 0.109, 6
-3.097, -1.567, 0.731, -0.14, 0
-3.097, -1.084, 0.089, 0.358, 1
-2.947, -0.524, 0.559, 0.849, 2
-2.977, -0.102, -0.095, 0.977, 3
-2.937, 0.622, -0.142, -0.303, 4
-2.862, 0.692, 0.401, 0.711, 5
-2.916, 1.281, 0.065, 0.11, 6
-3.069, -1.551, 0.712, 0.021, 0
-3.084, -1.078, 0.078, 0.333, 1
